hp_rank,country,hp_value,hp_value_n,hp_change,gdp,social_support,life_exp,generosity,perceived_corruption
1,Finland,7.632,1,1.305,1.592,0.874,0.681,0.192,0.393
2,Norway,7.594,0.995020964,1.456,1.582,0.861,0.686,0.286,0.34
3,Denmark,7.555,0.989910901,1.351,1.59,0.868,0.683,0.284,0.408
4,Iceland,7.495,0.982049266,1.343,1.644,0.914,0.677,0.353,0.138
5,Switzerland,7.487,0.981001048,1.42,1.549,0.927,0.66,0.256,0.357
6,Netherlands,7.441,0.974973795,1.361,1.488,0.878,0.638,0.333,0.295
7,Canada,7.328,0.960167715,1.33,1.532,0.896,0.653,0.321,0.291
8,New Zealand,7.324,0.959643606,1.268,1.601,0.876,0.669,0.365,0.389
9,Sweden,7.314,0.958333333,1.355,1.501,0.913,0.659,0.285,0.383
10,Australia,7.272,0.952830189,1.34,1.573,0.91,0.647,0.361,0.302
11,Israel,7.19,0.942085954,1.244,1.433,0.888,0.464,0.262,0.082
12,Austria,7.139,0.935403564,1.341,1.504,0.891,0.617,0.242,0.224
13,Costa Rica,7.072,0.926624738,1.01,1.459,0.817,0.632,0.143,0.101
14,Ireland,6.977,0.914177149,1.448,1.583,0.876,0.614,0.307,0.306
15,Germany,6.965,0.912604822,1.34,1.474,0.861,0.586,0.273,0.28
16,Belgium,6.927,0.907625786,1.324,1.483,0.894,0.583,0.188,0.24
17,Luxembourg,6.91,0.905398323,1.576,1.52,0.896,0.632,0.196,0.321
18,United States of America,6.886,0.902253669,1.398,1.471,0.819,0.547,0.291,0.133
19,United Kingdom,6.814,0.892819706,1.301,1.559,0.883,0.533,0.354,0.272
20,United Arab Emirates,6.774,0.887578616,2.096,0.776,0.67,0.284,0.186,
21,Czech Republic,6.711,0.879323899,1.233,1.489,0.854,0.543,0.064,0.034
22,Malta,6.627,0.86831761,1.27,1.525,0.884,0.645,0.376,0.142
23,France,6.489,0.850235849,1.293,1.466,0.908,0.52,0.098,0.176
24,Mexico,6.488,0.850104822,1.038,1.252,0.761,0.479,0.069,0.095
25,Chile,6.476,0.848532495,1.131,1.331,0.808,0.431,0.197,0.061
26,Taiwan,6.441,0.843946541,1.365,1.436,0.857,0.418,0.151,0.078
27,Panama,6.43,0.842505241,1.112,1.438,0.759,0.597,0.125,0.063
28,Brazil,6.419,0.841063941,0.986,1.474,0.675,0.493,0.11,0.088
29,Argentina,6.388,0.837002096,1.073,1.468,0.744,0.57,0.062,0.054
30,Guatemala,6.382,0.836215933,0.781,1.268,0.608,0.604,0.179,0.071
31,Uruguay,6.379,0.835822851,1.093,1.459,0.771,0.625,0.13,0.155
